# rollout meta: {"joint_names": ["joint1", "joint2", "joint3", "joint4", "joint5", "joint6", "joint7"], "dt": 0.02, "n": 200, "has_base": true, "source": "imit", "note": ""}
t,q1,q2,q3,q4,q5,q6,q7,ee_x,ee_y,ee_z,tgt_x,tgt_y,tgt_z,bx,by,bz,bqx,bqy,bqz,bqw,drawing
0.000000,0.08473751,0.19168118,0.02090808,0.01698944,0.04780984,-0.04781409,0.02422534,0.397030,-0.023533,0.403319,0.300000,0.079961,0.102513,0.019842,0.002507,0.000000,0.00010993,0.00069522,-0.00080462,0.99999943,1
0.020000,0.05604073,0.22043315,-0.00816405,0.04211013,0.07675785,-0.04629050,0.02077562,0.389225,-0.003693,0.403035,0.300000,0.079842,0.105023,0.019372,0.004974,0.000000,0.00021755,0.00062355,-0.00084070,0.99999943,1
0.040000,0.03187453,0.24920443,-0.03728820,0.07316811,0.10607905,-0.07397424,-0.00635441,0.381028,0.013436,0.402248,0.300000,0.079645,0.107529,0.018596,0.007362,0.000000,0.00032172,0.00054205,-0.00086350,0.99999943,1
0.060000,0.05119403,0.27804801,-0.06670018,0.11343983,0.13733391,-0.10281119,-0.03526465,0.372325,0.013484,0.401812,0.300000,0.079369,0.110027,0.017526,0.009635,0.000000,0.00042080,0.00045199,-0.00087267,0.99999943,1
0.080000,0.07560743,0.30683962,-0.09586534,0.14275788,0.16636002,-0.13172904,-0.06418587,0.363328,0.010559,0.401296,0.300000,0.079015,0.112515,0.016180,0.011756,0.000000,0.00051325,0.00035481,-0.00086805,0.99999943,1
0.100000,0.10076343,0.33564675,-0.12504433,0.17168269,0.19529562,-0.16065051,-0.09310725,0.353996,0.007090,0.400804,0.300000,0.078583,0.114991,0.014579,0.013691,0.000000,0.00059759,0.00025205,-0.00084972,0.99999943,1
0.120000,0.12609714,0.36447152,-0.15424354,0.20050338,0.22420099,-0.18957330,-0.12202871,0.344362,0.003277,0.400325,0.300000,0.078073,0.117451,0.012748,0.015410,0.000000,0.00067252,0.00014532,-0.00081797,0.99999943,1
0.140000,0.15141699,0.39331520,-0.18346274,0.22929393,0.25309271,-0.21849650,-0.15095028,0.334461,-0.000844,0.399850,0.300000,0.077487,0.119895,0.010717,0.016887,0.000000,0.00073684,0.00003632,-0.00077330,0.99999943,1
0.160000,0.17646100,0.42217761,-0.21269843,0.25805461,0.28196600,-0.24741973,-0.17987183,0.324335,-0.005209,0.399371,0.300000,0.076823,0.122319,0.008516,0.018097,0.000000,0.00078956,-0.00007324,-0.00071643,0.99999943,1
0.180000,0.20070006,0.45105818,-0.24194621,0.28677058,0.31080785,-0.27634236,-0.20879337,0.314027,-0.009644,0.398893,0.300000,0.076085,0.124721,0.006180,0.019021,0.000000,0.00082984,-0.00018164,-0.00064824,0.99999943,1
0.200000,0.22342935,0.47995642,-0.27120316,0.31544319,0.33961183,-0.30526406,-0.23771492,0.303583,-0.013899,0.398434,0.300000,0.075270,0.127099,0.003748,0.019646,0.000000,0.00085704,-0.00028715,-0.00056983,0.99999943,1
0.220000,0.24438572,0.50887340,-0.30047062,0.34411097,0.36840329,-0.33418560,-0.26663640,0.293048,-0.017892,0.398013,0.300000,0.074382,0.129450,0.001256,0.019961,0.000000,0.00087076,-0.00038813,-0.00048243,0.99999943,1
0.240000,0.26326191,0.53780860,-0.32974622,0.37274885,0.39718008,-0.36310661,-0.29555780,0.282469,-0.021519,0.397647,0.300000,0.073420,0.131772,-0.001256,0.019961,0.000000,0.00087076,-0.00048298,-0.00038743,0.99999943,1
0.260000,0.27977577,0.56676167,-0.35902801,0.40131480,0.42594555,-0.39202711,-0.32447922,0.271894,-0.024682,0.397351,0.300000,0.072386,0.134062,-0.003748,0.019646,0.000000,0.00085704,-0.00057020,-0.00028633,0.99999943,1
0.280000,0.29371181,0.59573263,-0.38831457,0.42972037,0.45470443,-0.42094734,-0.35340065,0.261369,-0.027300,0.397133,0.300000,0.071281,0.136319,-0.006180,0.019021,0.000000,0.00082984,-0.00064844,-0.00018072,0.99999943,1
0.300000,0.30472943,0.62471980,-0.41760287,0.45776951,0.48345235,-0.44986695,-0.38232204,0.250945,-0.029234,0.396994,0.300000,0.070105,0.138540,-0.008516,0.018097,0.000000,0.00078956,-0.00071645,-0.00007227,0.99999943,1
0.320000,0.31273997,0.65372372,-0.44689205,0.48506477,0.51220357,-0.47878590,-0.41124347,0.240669,-0.030425,0.396906,0.300000,0.068859,0.140723,-0.010717,0.016887,0.000000,0.00073684,-0.00077317,0.00003730,0.99999943,1
0.340000,0.31787837,0.68274391,-0.47618020,0.51088041,0.54096782,-0.50770354,-0.44016489,0.230595,-0.030880,0.396795,0.300000,0.067546,0.142866,-0.012748,0.015410,0.000000,0.00067252,-0.00081771,0.00014626,0.99999943,1
0.360000,0.32052699,0.71178007,-0.50546330,0.53371960,0.56975502,-0.53661883,-0.46908629,0.220786,-0.030659,0.396516,0.300000,0.066166,0.144967,-0.014579,0.013691,0.000000,0.00059759,-0.00084938,0.00025291,0.99999943,1
0.380000,0.32092869,0.74082929,-0.53473210,0.55068851,0.59855384,-0.56552941,-0.49800768,0.211331,-0.029680,0.395817,0.300000,0.064721,0.147023,-0.016180,0.011756,0.000000,0.00051325,-0.00086767,0.00035556,0.99999943,1
0.400000,0.31883585,0.76988506,-0.56397611,0.55781549,0.62733376,-0.59443331,-0.52692938,0.202344,-0.027580,0.394367,0.300000,0.063212,0.149033,-0.017526,0.009635,0.000000,0.00042080,-0.00087229,0.00045259,0.99999943,1
0.420000,0.31341285,0.79892850,-0.59319746,0.55291474,0.65604609,-0.62333441,-0.55585104,0.193915,-0.023813,0.391938,0.300000,0.061641,0.150994,-0.018596,0.007362,0.000000,0.00032172,-0.00086318,0.00054247,0.99999943,1
0.440000,0.30430597,0.82789129,-0.62242258,0.53889990,0.68460971,-0.65224147,-0.58477277,0.186063,-0.018300,0.388612,0.300000,0.060009,0.152905,-0.019372,0.004974,0.000000,0.00021755,-0.00084047,0.00062381,0.99999943,1
0.460000,0.29203707,0.85640109,-0.65165997,0.52018088,0.71266836,-0.68115741,-0.61369449,0.178887,-0.011456,0.384520,0.300000,0.058317,0.154764,-0.019842,0.002507,0.000000,0.00010993,-0.00080453,0.00069530,0.99999943,1
