# rollout meta: {"joint_names": ["joint1", "joint2", "joint3", "joint4", "joint5", "joint6", "joint7"], "dt": 0.02, "n": 400, "has_base": true, "source": "phase1_diffusion_selected", "note": "condition=easy; checkpoint=policy_precision.pt; gain=0.87; q_noise=0.002"}
t,q1,q2,q3,q4,q5,q6,q7,ee_x,ee_y,ee_z,tgt_x,tgt_y,tgt_z,bx,by,bz,bqx,bqy,bqz,bqw,drawing
0.000000,0.10493723,-0.33926690,-0.24531414,1.44098115,-0.98369074,0.07872981,-3.13610458,0.380642,0.012583,0.100282,0.379961,0.012513,0.100000,0.019842,0.002507,0.010000,0.00010993,0.00069522,-0.00080462,0.99999943,1
0.020000,0.10367221,-0.34335610,-0.24192971,1.44077778,-0.98567069,0.07224710,-3.12945366,0.380408,0.015116,0.099848,0.379842,0.015023,0.100000,0.019372,0.004974,0.010000,0.00021755,0.00062355,-0.00084070,0.99999943,1
0.040000,0.10220267,-0.34783190,-0.23679033,1.44097936,-0.98790938,0.06342209,-3.12112093,0.380122,0.017628,0.099630,0.379645,0.017529,0.100000,0.018596,0.007362,0.010000,0.00032172,0.00054205,-0.00086350,0.99999943,1
0.060000,0.10033367,-0.35265061,-0.23025152,1.44177485,-0.99003750,0.05293813,-3.11187315,0.379808,0.020136,0.099580,0.379369,0.020027,0.100000,0.017526,0.009635,0.010000,0.00042080,0.00045199,-0.00087267,0.99999943,1
0.080000,0.09797354,-0.35792705,-0.22263873,1.44332862,-0.99191105,0.04134834,-3.10233784,0.379460,0.022647,0.099612,0.379015,0.022515,0.100000,0.016180,0.011756,0.010000,0.00051325,0.00035481,-0.00086805,0.99999943,1
0.100000,0.09501459,-0.36370188,-0.21437041,1.44573021,-0.99347162,0.02916222,-3.09297800,0.379042,0.025159,0.099642,0.378583,0.024991,0.100000,0.014579,0.013691,0.010000,0.00059759,0.00025205,-0.00084972,0.99999943,1
0.120000,0.09135847,-0.36981329,-0.20577312,1.44904006,-0.99458760,0.01685087,-3.08413696,0.378545,0.027662,0.099652,0.378073,0.027451,0.100000,0.012748,0.015410,0.010000,0.00067252,0.00014532,-0.00081797,0.99999943,1
0.140000,0.08689370,-0.37602651,-0.19711180,1.45337510,-0.99520689,0.00471335,-3.07604218,0.377959,0.030157,0.099656,0.377487,0.029895,0.100000,0.010717,0.016887,0.010000,0.00073684,0.00003632,-0.00077330,0.99999943,1
0.160000,0.08160893,-0.38217267,-0.18855634,1.45873737,-0.99526393,-0.00702651,-3.06877565,0.377296,0.032619,0.099664,0.376823,0.032319,0.100000,0.008516,0.018097,0.010000,0.00078956,-0.00007324,-0.00071643,0.99999943,1
0.180000,0.07541964,-0.38816205,-0.18030849,1.46519625,-0.99478006,-0.01823277,-3.06239510,0.376552,0.035050,0.099662,0.376085,0.034721,0.100000,0.006180,0.019021,0.010000,0.00082984,-0.00018164,-0.00064824,0.99999943,1
0.200000,0.06824891,-0.39382815,-0.17248261,1.47283816,-0.99378729,-0.02890565,-3.05682707,0.375732,0.037448,0.099672,0.375270,0.037099,0.100000,0.003748,0.019646,0.010000,0.00085704,-0.00028715,-0.00056983,0.99999943,1
