# rollout meta: {"joint_names": ["joint1", "joint2", "joint3", "joint4", "joint5", "joint6", "joint7"], "dt": 0.02, "n": 400, "has_base": true, "source": "phase1_diffusion_selected", "note": "condition=hard; checkpoint=policy_precision.pt; gain=0.93; q_noise=0.002"}
t,q1,q2,q3,q4,q5,q6,q7,ee_x,ee_y,ee_z,tgt_x,tgt_y,tgt_z,bx,by,bz,bqx,bqy,bqz,bqw,drawing
0.000000,0.10814029,-0.38713497,-0.22738552,1.43795717,-0.95801604,0.08321893,-3.14193583,0.379670,0.013129,0.100648,0.379961,0.012513,0.100000,0.009686,0.002487,0.019632,0.00021755,0.00062355,-0.00084070,0.99999943,1
0.020000,0.10670669,-0.39131337,-0.22341470,1.44049966,-0.95753759,0.08374807,-3.14094734,0.379763,0.015918,0.100778,0.379842,0.015023,0.100000,0.008763,0.004818,0.019998,0.00042080,0.00045199,-0.00087267,0.99999943,1
0.040000,0.10408748,-0.39582354,-0.21741050,1.44479144,-0.95772076,0.08330277,-3.13907766,0.379614,0.018748,0.100592,0.379645,0.017529,0.100000,0.007290,0.006845,0.019736,0.00059759,0.00025205,-0.00084972,0.99999943,1
0.060000,0.09972640,-0.39964387,-0.20952727,1.45100462,-0.95875055,0.08119814,-3.13613653,0.379216,0.021537,0.100339,0.379369,0.020027,0.100000,0.005358,0.008443,0.018862,0.00073684,0.00003632,-0.00077330,0.99999943,1
0.080000,0.09341505,-0.40230232,-0.19990645,1.45916212,-0.96018070,0.07699881,-3.13216829,0.378710,0.024209,0.100169,0.379015,0.022515,0.100000,0.003090,0.009511,0.017431,0.00082984,-0.00018164,-0.00064824,0.99999943,1
0.100000,0.08514693,-0.40349466,-0.18887338,1.46919620,-0.96143246,0.07067676,-3.12736702,0.378252,0.026705,0.100190,0.378583,0.024991,0.100000,0.000628,0.009980,0.015534,0.00087076,-0.00038813,-0.00048243,0.99999943,1
0.120000,0.07509322,-0.40327969,-0.17727052,1.48094392,-0.96223378,0.06244373,-3.12196112,0.377862,0.028993,0.100353,0.378073,0.027451,0.100000,-0.001874,0.009823,0.013289,0.00085704,-0.00057020,-0.00028633,0.99999943,1
0.140000,0.06334022,-0.40196598,-0.16608855,1.49436128,-0.96268749,0.05254322,-3.11609316,0.377483,0.031103,0.100525,0.377487,0.029895,0.100000,-0.004258,0.009048,0.010837,0.00078956,-0.00071645,-0.00007227,0.99999943,1
0.160000,0.04994959,-0.39968604,-0.15636377,1.50919580,-0.96319950,0.04130117,-3.10980225,0.376997,0.033062,0.100607,0.376823,0.032319,0.100000,-0.006374,0.007705,0.008332,0.00067252,-0.00081771,0.00014626,0.99999943,1
0.180000,0.03477347,-0.39653251,-0.14877892,1.52532589,-0.96418482,0.02888397,-3.10304260,0.376345,0.034956,0.100561,0.376085,0.034721,0.100000,-0.008090,0.005878,0.005933,0.00051325,-0.00086767,0.00035556,0.99999943,1
0.200000,0.01803738,-0.39247516,-0.14377300,1.54266214,-0.96594608,0.01533120,-3.09594536,0.375509,0.036864,0.100431,0.375270,0.037099,0.100000,-0.009298,0.003681,0.003789,0.00032172,-0.00086318,0.00054247,0.99999943,1
0.220000,-0.00013548,-0.38753647,-0.14152464,1.56094110,-0.96874726,0.00082131,-3.08844328,0.374501,0.038863,0.100273,0.374382,0.039450,0.100000,-0.009921,0.001253,0.002035,0.00010993,-0.00080453,0.00069530,0.99999943,1
0.240000,-0.01942408,-0.38191885,-0.14204240,1.57964897,-0.97278106,-0.01456739,-3.08050680,0.373339,0.040988,0.100108,0.373420,0.041772,0.100000,-0.009921,-0.001253,0.000781,-0.00010881,-0.00069540,0.00080447,0.99999943,1
0.260000,-0.03924546,-0.37595397,-0.14519092,1.59826553,-0.97816861,-0.03075939,-3.07203484,0.372043,0.043242,0.099947,0.372386,0.044062,0.100000,-0.009298,-0.003681,0.000107,-0.00032078,-0.00054260,0.00086316,0.99999943,1
0.280000,-0.05874821,-0.37007251,-0.15072204,1.61593926,-0.98464251,-0.04748442,-3.06296635,0.370681,0.045543,0.099790,0.371281,0.046319,0.100000,-0.008090,-0.005878,0.000055,-0.00051263,-0.00035570,0.00086768,0.99999943,1
0.300000,-0.07707798,-0.36461756,-0.15836881,1.63201046,-0.99153918,-0.06454840,-3.05322886,0.369346,0.047814,0.099663,0.370105,0.048540,0.100000,-0.006374,-0.007705,0.000627,-0.00067228,-0.00014642,0.00081777,0.99999943,1
0.320000,-0.09366594,-0.35985592,-0.16795217,1.64612150,-0.99789453,-0.08184886,-3.04288912,0.368125,0.050025,0.099571,0.368859,0.050723,0.100000,-0.004258,-0.009048,0.001789,-0.00078966,0.00007211,0.00071654,0.99999943,1
0.340000,-0.10801353,-0.35596588,-0.17927843,1.65810084,-1.00287676,-0.09937026,-3.03237581,0.367055,0.052160,0.099509,0.367546,0.052866,0.100000,-0.001874,-0.009823,0.003466,-0.00085737,0.00028618,0.00057032,0.99999943,1
0.360000,-0.11997890,-0.35303172,-0.19205934,1.66795671,-1.00612164,-0.11689901,-3.02223706,0.366097,0.054241,0.099464,0.366166,0.054967,0.100000,0.000628,-0.009980,0.005554,-0.00087113,0.00048230,0.00038827,0.99999943,1
0.380000,-0.12956336,-0.35109729,-0.20601560,1.67578113,-1.00769520,-0.13416635,-3.01315570,0.365134,0.056299,0.099384,0.364721,0.057023,0.100000,0.003090,-0.009511,0.007921,-0.00083007,0.00064813,0.00018180,0.99999943,1
0.400000,-0.13682704,-0.35003209,-0.22064555,1.68171418,-1.00813365,-0.15050431,-3.00551391,0.364023,0.058366,0.099273,0.363212,0.059033,0.100000,0.005358,-0.008443,0.010419,-0.00073679,0.00077323,-0.00003616,0.99999943,1
0.420000,-0.14192958,-0.34959519,-0.23540401,1.68587005,-1.00812495,-0.16541190,-2.99944329,0.362612,0.060457,0.099143,0.361641,0.060994,0.100000,0.007290,-0.006845,0.012890,-0.00059717,0.00084968,-0.00025190,0.99999943,1
0.440000,-0.14508641,-0.34940624,-0.24960600,1.68833005,-1.00804400,-0.17859122,-2.99483418,0.360847,0.062564,0.099044,0.360009,0.062905,0.100000,0.008763,-0.004818,0.015180,-0.00042001,0.00087267,-0.00045185,0.99999943,1
0.460000,-0.14634275,-0.34902465,-0.26253754,1.68922520,-1.00782466,-0.18987437,-2.99155402,0.358790,0.064641,0.099047,0.358317,0.064764,0.100000,0.009686,-0.002487,0.017145,-0.00021650,0.00084075,-0.00062344,0.99999943,1
0.480000,-0.14576609,-0.34800106,-0.27366546,1.68890631,-1.00703931,-0.19920830,-2.98954940,0.356571,0.066640,0.099196,0.356569,0.066569,0.100000,0.010000,0.000000,0.018660,0.00000057,0.00075592,-0.00075584,0.99999943,1
0.500000,-0.14358856,-0.34610957,-0.28261435,1.68810153,-1.00539386,-0.20659214,-2.98871446,0.354325,0.068554,0.099473,0.354764,0.068317,0.100000,0.009686,0.002487,0.019632,0.00021755,0.00062355,-0.00084070,0.99999943,1
0.520000,-0.14058858,-0.34328431,-0.28925151,1.68775284,-1.00306940,-0.21212994,-2.98874688,0.352103,0.070435,0.099799,0.352905,0.070009,0.100000,0.008763,0.004818,0.019998,0.00042080,0.00045199,-0.00087267,0.99999943,1
0.540000,-0.13782641,-0.33952802,-0.29353419,1.68870842,-1.00060415,-0.21600658,-2.98917937,0.349912,0.072351,0.100098,0.350994,0.071641,0.100000,0.007290,0.006845,0.019736,0.00059759,0.00025205,-0.00084972,0.99999943,1
0.560000,-0.13622048,-0.33476985,-0.29557720,1.69142902,-0.99841195,-0.21862838,-2.98956895,0.347748,0.074311,0.100336,0.349033,0.073212,0.100000,0.005358,0.008443,0.018862,0.00073684,0.00003632,-0.00077330,0.99999943,1
0.580000,-0.13619611,-0.32886171,-0.29550803,1.69593716,-0.99644262,-0.22051132,-2.98955035,0.345691,0.076253,0.100555,0.347023,0.074721,0.100000,0.003090,0.009511,0.017431,0.00082984,-0.00018164,-0.00064824,0.99999943,1
0.600000,-0.13786007,-0.32161865,-0.29387096,1.70211804,-0.99444318,-0.22220129,-2.98900151,0.343776,0.078093,0.100789,0.344967,0.076166,0.100000,0.000628,0.009980,0.015534,0.00087076,-0.00038813,-0.00048243,0.99999943,1
0.620000,-0.14119104,-0.31293249,-0.29156211,1.70977151,-0.99223047,-0.22416505,-2.98786139,0.341964,0.079756,0.101035,0.342866,0.077546,0.100000,-0.001874,0.009823,0.013289,0.00085704,-0.00057020,-0.00028633,0.99999943,1
0.640000,-0.14619054,-0.30290326,-0.28974369,1.71874881,-0.98995811,-0.22674927,-2.98606801,0.340126,0.081210,0.101211,0.340723,0.078859,0.100000,-0.004258,0.009048,0.010837,0.00078956,-0.00071645,-0.00007227,0.99999943,1
0.660000,-0.15297578,-0.29166269,-0.28929833,1.72892988,-0.98786461,-0.23023140,-2.98350453,0.338182,0.082476,0.101265,0.338540,0.080105,0.100000,-0.006374,0.007705,0.008332,0.00067252,-0.00081771,0.00014626,0.99999943,1
0.680000,-0.16155820,-0.27927080,-0.29086828,1.74004197,-0.98632854,-0.23486440,-2.98003125,0.336062,0.083588,0.101193,0.336319,0.081281,0.100000,-0.008090,0.005878,0.005933,0.00051325,-0.00086767,0.00035556,0.99999943,1
0.700000,-0.17188929,-0.26598218,-0.29480091,1.75182247,-0.98571819,-0.24080981,-2.97551227,0.333748,0.084600,0.100986,0.334062,0.082386,0.100000,-0.009298,0.003681,0.003789,0.00032172,-0.00086318,0.00054247,0.99999943,1
0.720000,-0.18384935,-0.25193423,-0.30124700,1.76384342,-0.98633027,-0.24817155,-2.96982837,0.331238,0.085560,0.100682,0.331772,0.083420,0.100000,-0.009921,0.001253,0.002035,0.00010993,-0.00080453,0.00069530,0.99999943,1
0.740000,-0.19712833,-0.23743431,-0.31017226,1.77553022,-0.98837721,-0.25697631,-2.96287513,0.328548,0.086487,0.100308,0.329450,0.084382,0.100000,-0.009921,-0.001253,0.000781,-0.00010881,-0.00069540,0.00080447,0.99999943,1
0.760000,-0.21118560,-0.22308154,-0.32135531,1.78625226,-0.99186999,-0.26712757,-2.95470548,0.325742,0.087355,0.099862,0.327099,0.085270,0.100000,-0.009298,-0.003681,0.000107,-0.00032078,-0.00054260,0.00086316,0.99999943,1
0.780000,-0.22510701,-0.20936495,-0.33462280,1.79536653,-0.99646235,-0.27836362,-2.94550920,0.322891,0.088086,0.099388,0.324721,0.086085,0.100000,-0.008090,-0.005878,0.000055,-0.00051263,-0.00035571,0.00086768,0.99999943,1
0.800000,-0.23792876,-0.19680405,-0.34968475,1.80246782,-1.00135863,-0.29047233,-2.93553042,0.320131,0.088611,0.098943,0.322319,0.086823,0.100000,-0.006374,-0.007705,0.000627,-0.00067228,-0.00014642,0.00081777,0.99999943,1
0.820000,-0.24882706,-0.18569635,-0.36631542,1.80738854,-1.00553370,-0.30331776,-2.92522025,0.317580,0.088898,0.098595,0.319895,0.087487,0.100000,-0.004258,-0.009048,0.001789,-0.00078966,0.00007211,0.00071654,0.99999943,1
0.840000,-0.25733355,-0.17626189,-0.38428423,1.81012475,-1.00807905,-0.31670213,-2.91523194,0.315306,0.088959,0.098363,0.317451,0.088073,0.100000,-0.001874,-0.009823,0.003466,-0.00085737,0.00028618,0.00057032,0.99999943,1
0.860000,-0.26322374,-0.16863585,-0.40321007,1.81086254,-1.00865328,-0.33019018,-2.90643358,0.313301,0.088860,0.098250,0.314990,0.088583,0.100000,0.000628,-0.009980,0.005554,-0.00087113,0.00048230,0.00038827,0.99999943,1
0.880000,-0.26643872,-0.16282968,-0.42275062,1.80974758,-1.00746953,-0.34301072,-2.89962626,0.311447,0.088671,0.098226,0.312515,0.089015,0.100000,0.003090,-0.009511,0.007921,-0.00083007,0.00064813,0.00018180,0.99999943,1
0.900000,-0.26713219,-0.15869273,-0.44261649,1.80699086,-1.00526834,-0.35421532,-2.89494371,0.309532,0.088479,0.098237,0.310027,0.089369,0.100000,0.005358,-0.008443,0.010419,-0.00073679,0.00077323,-0.00003616,0.99999943,1
0.920000,-0.26549333,-0.15585914,-0.46246886,1.80270219,-1.00284219,-0.36313939,-2.89210367,0.307342,0.088343,0.098256,0.307529,0.089645,0.100000,0.007290,-0.006845,0.012890,-0.00059717,0.00084968,-0.00025190,0.99999943,1
0.940000,-0.26167837,-0.15380941,-0.48168847,1.79712319,-1.00053084,-0.36961806,-2.89063597,0.304800,0.088304,0.098315,0.305023,0.089842,0.100000,0.008763,-0.004818,0.015180,-0.00042001,0.00087267,-0.00045185,0.99999943,1
0.960000,-0.25566036,-0.15192746,-0.49947578,1.79043961,-0.99807924,-0.37381294,-2.89034176,0.301999,0.088338,0.098486,0.302513,0.089961,0.100000,0.009686,-0.002487,0.017145,-0.00021650,0.00084075,-0.00062344,0.99999943,1
0.980000,-0.24740607,-0.14950123,-0.51514834,1.78295863,-0.99491423,-0.37595645,-2.89117503,0.299107,0.088395,0.098834,0.300000,0.090000,0.100000,0.010000,0.000000,0.018660,0.00000057,0.00075592,-0.00075584,0.99999943,1
1.000000,-0.23695745,-0.14602089,-0.52841109,1.77529502,-0.99065703,-0.37626836,-2.89320159,0.296249,0.088432,0.099345,0.297487,0.089961,0.100000,0.009686,0.002487,0.019632,0.00021755,0.00062355,-0.00084070,0.99999943,1
1.020000,-0.22500043,-0.14133307,-0.53927058,1.76837182,-0.98551649,-0.37488163,-2.89637780,0.293456,0.088481,0.099906,0.294977,0.089842,0.100000,0.008763,0.004818,0.019998,0.00042080,0.00045199,-0.00087267,0.99999943,1
1.040000,-0.21280244,-0.13545561,-0.54783797,1.76306629,-0.98023123,-0.37200341,-2.90028214,0.290683,0.088614,0.100382,0.292471,0.089645,0.100000,0.007290,0.006845,0.019736,0.00059759,0.00025205,-0.00084972,0.99999943,1
1.060000,-0.20153411,-0.12854995,-0.55413413,1.75972462,-0.97556102,-0.36775702,-2.90429187,0.287916,0.088836,0.100688,0.289973,0.089369,0.100000,0.005358,0.008443,0.018862,0.00073684,0.00003632,-0.00077330,0.99999943,1
1.080000,-0.19185497,-0.12060196,-0.55812424,1.75834095,-0.97181994,-0.36245447,-2.90788388,0.285222,0.089088,0.100853,0.287485,0.089015,0.100000,0.003090,0.009511,0.017431,0.00082984,-0.00018164,-0.00064824,0.99999943,1
1.100000,-0.18399630,-0.11147193,-0.55988836,1.75860691,-0.96871895,-0.35657871,-2.91074634,0.282738,0.089258,0.100963,0.285010,0.088583,0.100000,0.000628,0.009980,0.015534,0.00087076,-0.00038813,-0.00048243,0.99999943,1
