# rollout meta: {"joint_names": ["joint1", "joint2", "joint3", "joint4", "joint5", "joint6", "joint7"], "dt": 0.02, "n": 400, "has_base": true, "source": "phase1_diffusion_selected", "note": "condition=medium; checkpoint=policy_precision.pt; gain=0.9; q_noise=0.002"}
t,q1,q2,q3,q4,q5,q6,q7,ee_x,ee_y,ee_z,tgt_x,tgt_y,tgt_z,bx,by,bz,bqx,bqy,bqz,bqw,drawing
0.000000,0.11099412,-0.36365122,-0.31699845,1.41850126,-0.89593577,0.08572181,-3.12861061,0.380095,0.012271,0.100060,0.379961,0.012513,0.100000,0.019842,0.002507,0.028437,0.00010993,0.00069522,-0.00080462,0.99999943,1
0.020000,0.10950631,-0.36823860,-0.31418571,1.41890931,-0.89668310,0.08055753,-3.12240553,0.379977,0.014920,0.100232,0.379842,0.015023,0.100000,0.019372,0.004974,0.029263,0.00021755,0.00062355,-0.00084070,0.99999943,1
0.040000,0.10785548,-0.37373254,-0.30972588,1.42022800,-0.89798605,0.07313633,-3.11477089,0.379765,0.017614,0.100169,0.379645,0.017529,0.100000,0.018596,0.007362,0.029785,0.00032172,0.00054205,-0.00086350,0.99999943,1
0.060000,0.10591034,-0.37927726,-0.30355108,1.42258132,-0.90002805,0.06371670,-3.10643458,0.379462,0.020315,0.100087,0.379369,0.020027,0.100000,0.017526,0.009635,0.029996,0.00042080,0.00045199,-0.00087267,0.99999943,1
0.080000,0.10338462,-0.38449255,-0.29558718,1.42607141,-0.90292615,0.05272827,-3.09793258,0.379097,0.023009,0.100091,0.379015,0.022515,0.100000,0.016180,0.011756,0.029890,0.00051325,0.00035481,-0.00086805,0.99999943,1
0.100000,0.10012207,-0.38928863,-0.28601792,1.43065703,-0.90674973,0.04076505,-3.08973336,0.378655,0.025674,0.100173,0.378583,0.024991,0.100000,0.014579,0.013691,0.029472,0.00059759,0.00025205,-0.00084972,0.99999943,1
0.120000,0.09598371,-0.39372355,-0.27496287,1.43629956,-0.91141856,0.02844900,-3.08213210,0.378167,0.028296,0.100301,0.378073,0.027451,0.100000,0.012748,0.015410,0.028746,0.00067252,0.00014532,-0.00081797,0.99999943,1
0.140000,0.09090049,-0.39788961,-0.26281610,1.44305813,-0.91689211,0.01620469,-3.07535434,0.377590,0.030880,0.100398,0.377487,0.029895,0.100000,0.010717,0.016887,0.027724,0.00073684,0.00003632,-0.00077330,0.99999943,1
0.160000,0.08492448,-0.40172607,-0.24978586,1.45086098,-0.92300081,0.00439445,-3.06943107,0.376947,0.033406,0.100462,0.376823,0.032319,0.100000,0.008516,0.018097,0.026423,0.00078956,-0.00007324,-0.00071643,0.99999943,1
0.180000,0.07794838,-0.40512753,-0.23618460,1.45977426,-0.92957795,-0.00683243,-3.06436133,0.376231,0.035885,0.100486,0.376085,0.034721,0.100000,0.006180,0.019021,0.024863,0.00082984,-0.00018164,-0.00064824,0.99999943,1
0.200000,0.07001781,-0.40799394,-0.22233029,1.46976840,-0.93649638,-0.01736777,-3.06014514,0.375431,0.038313,0.100467,0.375270,0.037099,0.100000,0.003748,0.019646,0.023068,0.00085704,-0.00028715,-0.00056983,0.99999943,1
0.220000,0.06103158,-0.41016665,-0.20843224,1.48086095,-0.94364208,-0.02716272,-3.05677485,0.374557,0.040703,0.100435,0.374382,0.039450,0.100000,0.001256,0.019961,0.021068,0.00087076,-0.00038813,-0.00048243,0.99999943,1
0.240000,0.05112521,-0.41155964,-0.19476089,1.49306178,-0.95087254,-0.03623198,-3.05414653,0.373609,0.043056,0.100400,0.373420,0.041772,0.100000,-0.001256,0.019961,0.018893,0.00087076,-0.00048298,-0.00038743,0.99999943,1
0.260000,0.04032583,-0.41207504,-0.18164599,1.50630367,-0.95808005,-0.04460460,-3.05222058,0.372570,0.045373,0.100359,0.372386,0.044062,0.100000,-0.003748,0.019646,0.016577,0.00085704,-0.00057020,-0.00028633,0.99999943,1
