# rollout meta: {"joint_names": ["joint1", "joint2", "joint3", "joint4", "joint5", "joint6", "joint7"], "dt": 0.02, "n": 1550, "has_base": true, "source": "rl_policy", "note": "ckpt=model_1999.pt"}
t,q1,q2,q3,q4,q5,q6,q7,ee_x,ee_y,ee_z,tgt_x,tgt_y,tgt_z,bx,by,bz,bqx,bqy,bqz,bqw,drawing
0.000000,0.09404515,-0.00063913,-0.00538271,-0.00471978,-0.04113176,-0.04691950,-0.07993262,0.458883,-0.043540,0.333312,0.300000,0.059981,0.101508,0.020766,0.002730,0.000000,0.01171957,0.00108999,-0.00001278,0.99993073,1
0.020000,0.08179734,-0.01625530,-0.02194171,-0.02092430,-0.02628153,-0.06213956,-0.09513608,0.463629,-0.034180,0.322475,0.300000,0.059924,0.103015,0.020233,0.005414,0.000000,0.01156824,0.00217061,-0.00002511,0.99993073,1
0.040000,0.06746286,-0.03406327,-0.03920354,-0.03618777,-0.01112297,-0.07734760,-0.11033958,0.468157,-0.024260,0.310489,0.300000,0.059830,0.104520,0.019355,0.008005,0.000000,0.01131747,0.00323258,-0.00003659,0.99993073,1
0.060000,0.05232937,-0.05249687,-0.05665910,-0.05106643,0.00415940,-0.09254951,-0.12554307,0.471997,-0.014444,0.297979,0.300000,0.059697,0.106022,0.018147,0.010459,0.000000,0.01096942,0.00426677,-0.00004681,0.99993073,1
0.080000,0.03680716,-0.07116400,-0.07418647,-0.06571788,0.01951369,-0.10774728,-0.14074658,0.475043,-0.004979,0.285124,0.300000,0.059527,0.107520,0.016628,0.012735,0.000000,0.01052709,0.00526430,-0.00005542,0.99993073,1
0.100000,0.02141201,-0.08996204,-0.09176080,-0.08007767,0.03496354,-0.12294133,-0.15595016,0.477277,0.003920,0.271987,0.300000,0.059319,0.109014,0.014827,0.014794,0.000000,0.00999427,0.00621659,-0.00006213,0.99993073,1
0.120000,0.00644573,-0.10886072,-0.10937750,-0.09430940,0.05045271,-0.13813226,-0.17115372,0.478712,0.012104,0.258618,0.300000,0.059074,0.110501,0.012772,0.016600,0.000000,0.00937555,0.00711545,-0.00006672,0.99993073,1
0.140000,-0.00811463,-0.12784407,-0.12703352,-0.10846491,0.06596462,-0.15332066,-0.18635727,0.479369,0.019541,0.245068,0.300000,0.058791,0.111983,0.010499,0.018124,0.000000,0.00867625,0.00795317,-0.00006901,0.99993073,1
0.160000,-0.02236094,-0.14689919,-0.14472583,-0.12256450,0.08149347,-0.16850683,-0.20156075,0.479280,0.026223,0.231387,0.300000,0.058472,0.113456,0.008047,0.019337,0.000000,0.00790238,0.00872253,-0.00006893,0.99993073,1
0.180000,-0.03639446,-0.16601452,-0.16245067,-0.13662302,0.09703545,-0.18369102,-0.21676420,0.478481,0.032148,0.217623,0.300000,0.058115,0.114921,0.005458,0.020221,0.000000,0.00706059,0.00941693,-0.00006649,0.99993073,1
0.200000,-0.05031801,-0.18517941,-0.18020348,-0.15065509,0.11258698,-0.19887345,-0.23196767,0.477014,0.037319,0.203821,0.300000,0.057722,0.116377,0.002776,0.020760,0.000000,0.00615813,0.01003040,-0.00006177,0.99993073,1
0.220000,-0.06423238,-0.20438468,-0.19797869,-0.16467389,0.12814492,-0.21405427,-0.24717110,0.474926,0.041738,0.190023,0.300000,0.057292,0.117823,0.000046,0.020945,0.000000,0.00520275,0.01055765,-0.00005493,0.99993073,1
0.240000,-0.07823451,-0.22362213,-0.21577014,-0.17869192,0.14370646,-0.22923389,-0.26237446,0.472268,0.045412,0.176270,0.300000,0.056826,0.119257,-0.002684,0.020772,0.000000,0.00420266,0.01099415,-0.00004621,0.99993073,1
0.260000,-0.09240654,-0.24288496,-0.23357090,-0.19271848,0.15926956,-0.24441239,-0.27757788,0.469095,0.048350,0.162599,0.300000,0.056324,0.120679,-0.005369,0.020245,0.000000,0.00316645,0.01133615,-0.00003590,0.99993073,1
0.280000,-0.10681736,-0.26216772,-0.25137368,-0.20676389,0.17483199,-0.25959018,-0.29278132,0.465460,0.050562,0.149047,0.300000,0.055787,0.122087,-0.007962,0.019373,0.000000,0.00210304,0.01158072,-0.00002436,0.99993073,1
0.300000,-0.12152939,-0.28146651,-0.26917025,-0.22083801,0.19039126,-0.27476734,-0.30798480,0.461422,0.052060,0.135649,0.300000,0.055214,0.123482,-0.010419,0.018170,0.000000,0.00102155,0.01172573,-0.00001198,0.99993073,1
0.320000,-0.13659871,-0.30077890,-0.28695244,-0.23494904,0.20594534,-0.28994429,-0.32318828,0.457035,0.052864,0.122436,0.300000,0.054606,0.124863,-0.012699,0.016656,0.000000,-0.00006871,0.01176995,0.00000081,0.99993073,1
0.340000,-0.15207358,-0.32010341,-0.30471125,-0.24910384,0.22149242,-0.30512103,-0.33839175,0.452356,0.052997,0.109440,0.300000,0.053964,0.126227,-0.014762,0.014859,0.000000,-0.00115839,0.01171300,0.00001357,0.99993073,1
0.360000,-0.16798620,-0.33943996,-0.32243857,-0.26330668,0.23703122,-0.32029805,-0.35359517,0.447436,0.052486,0.096690,0.300000,0.053288,0.127575,-0.016572,0.012808,0.000000,-0.00223811,0.01155537,0.00002586,0.99993073,1
0.380000,-0.18434966,-0.35879001,-0.34012607,-0.27756155,0.25256047,-0.33547544,-0.36879855,0.442325,0.051361,0.084214,0.300000,0.052578,0.128905,-0.018101,0.010539,0.000000,-0.00329860,0.01129841,0.00003727,0.99993073,1
0.400000,-0.20114906,-0.37815616,-0.35776594,-0.29187009,0.26807925,-0.35065353,-0.38400179,0.437069,0.049657,0.072040,0.300000,0.051835,0.130217,-0.019320,0.008090,0.000000,-0.00433074,0.01094432,0.00004740,0.99993073,1
0.420000,-0.21834846,-0.39746210,-0.37536758,-0.30623537,0.28358629,-0.36583260,-0.39920509,0.431705,0.047419,0.060217,0.300000,0.051060,0.131510,-0.020209,0.005502,0.000000,-0.00532567,0.01049617,0.00005590,0.99993073,1
0.440000,-0.23584944,-0.41516361,-0.39322051,-0.32066128,0.29908469,-0.38100946,-0.41440839,0.426207,0.044806,0.049215,0.300000,0.050252,0.132784,-0.020754,0.002821,0.000000,-0.00627483,0.00995780,0.00006249,0.99993073,1
