# rollout meta: {"joint_names": ["joint1", "joint2", "joint3", "joint4", "joint5", "joint6", "joint7"], "dt": 0.02, "n": 1150, "source": "shape_ik_6d", "note": "schedule r=0.3 h=0.3"}
t,q1,q2,q3,q4,q5,q6,q7,ee_x,ee_y,ee_z,tgt_x,tgt_y,tgt_z
0.000000,3.36822359,1.16074663,-1.57000000,-0.81562829,1.27344235,4.00000000,3.15000000,0.082553,-0.110844,-0.063568,0.300000,0.060000,0.300000
0.020000,-0.07409027,-0.36778720,1.16253697,-4.00000000,-2.00000000,1.28245276,2.12918711,0.321432,0.144940,0.336997,0.300000,0.059981,0.301508
0.040000,-0.07164323,-0.33157664,1.07442046,-4.00000000,-2.00000000,1.27969825,2.11237674,0.315361,0.143921,0.333780,0.300000,0.059924,0.303015
0.060000,-0.05665903,-0.34132050,1.13562507,-4.00000000,-2.00000000,1.21449375,2.13283199,0.313580,0.140710,0.342321,0.300000,0.059830,0.304520
0.080000,-0.05545199,-0.32902679,1.11235567,-4.00000000,-2.00000000,1.21713486,2.12358879,0.311315,0.140217,0.342087,0.300000,0.059697,0.306022
0.100000,-0.07478837,-0.49412174,1.48135609,-4.00000000,-2.00000000,1.39588072,2.12494251,0.340720,0.143219,0.346589,0.300000,0.059527,0.307520
0.120000,-0.05359137,-0.38420456,1.19449698,-4.00000000,-2.00000000,1.10937058,2.32163754,0.319867,0.141764,0.341735,0.300000,0.059319,0.309014
0.140000,-0.07206370,-0.11939189,0.63613880,-4.00000000,-2.00000000,1.18756980,1.95065219,0.268572,0.144847,0.316652,0.300000,0.059074,0.310501
0.160000,-0.04584272,-0.31032975,1.08868896,-4.00000000,-2.00000000,1.23319392,2.11499219,0.307555,0.136606,0.344098,0.300000,0.058791,0.311983
0.180000,-0.05423834,-0.78147702,1.57000000,-4.00000000,-2.00000000,1.37747613,2.40148217,0.409683,0.132881,0.282535,0.300000,0.058472,0.313456
0.200000,-0.05641999,-0.63263122,1.57000000,-4.00000000,-2.00000000,1.31658064,2.33221178,0.371432,0.137383,0.325438,0.300000,0.058115,0.314921
0.220000,-0.06588077,-0.49399061,1.49979491,-4.00000000,-2.00000000,1.41208730,2.12863764,0.339690,0.139865,0.349936,0.300000,0.057722,0.316377
0.240000,-0.05066835,-0.61812825,1.57000000,-4.00000000,-2.00000000,1.26550339,2.37415402,0.366207,0.136887,0.330381,0.300000,0.057292,0.317822
0.260000,-0.03382263,-0.82903806,1.57000000,-4.00000000,-2.00000000,1.24591663,2.56007211,0.417043,0.129687,0.272014,0.300000,0.056826,0.319257
0.280000,-0.02848252,-0.27436022,1.02875239,-4.00000000,-2.00000000,1.19154767,2.14979605,0.299068,0.131505,0.346355,0.300000,0.056324,0.320679
0.300000,-0.03942519,-0.94949409,1.57000000,-4.00000000,-2.00000000,1.45201529,2.49593073,0.444405,0.124656,0.229085,0.300000,0.055787,0.322087
0.320000,-0.03404698,-0.10009239,0.62943571,-4.00000000,-2.00000000,1.04704937,2.10941226,0.260108,0.135609,0.326142,0.300000,0.055214,0.323482
0.340000,-0.04058575,-0.72055237,1.57000000,-4.00000000,-2.00000000,1.34183203,2.40107601,0.394584,0.130617,0.302852,0.300000,0.054606,0.324863
0.360000,-0.03347167,-0.87219067,1.57000000,-4.00000000,-2.00000000,1.37986537,2.50035391,0.428882,0.125970,0.256624,0.300000,0.053964,0.326227
0.380000,-0.00856662,-0.29151831,1.08888520,-4.00000000,-2.00000000,1.14205872,2.26280061,0.299721,0.125641,0.353569,0.300000,0.053288,0.327575
0.400000,-0.03143241,-0.83180617,1.57000000,-4.00000000,-2.00000000,1.38585089,2.45763647,0.420804,0.125705,0.269738,0.300000,0.052578,0.328905
0.420000,-0.04965368,-0.34970081,1.25796987,-4.00000000,-2.00000000,1.58185053,1.84922029,0.317155,0.129850,0.353109,0.300000,0.051835,0.330217
0.440000,-0.00505180,-0.21697547,0.92862588,-4.00000000,-2.00000000,1.13478294,2.18958056,0.285611,0.124513,0.347943,0.300000,0.051060,0.331510
0.460000,0.00337035,-0.22890126,0.96137963,-4.00000000,-2.00000000,1.10316651,2.24078289,0.286746,0.122192,0.351281,0.300000,0.050252,0.332784
0.480000,-0.03809020,-0.28351808,1.10466061,-4.00000000,-2.00000000,1.28199144,2.21039124,0.300187,0.133110,0.352049,0.300000,0.049412,0.334036
0.500000,-0.08267832,-0.26843965,1.08775592,-4.00000000,-2.00000000,1.54676886,1.97169444,0.302261,0.141958,0.343678,0.300000,0.048541,0.335267
0.520000,-0.09013229,-0.26334828,1.07686871,-4.00000000,-2.00000000,1.44848400,2.07675359,0.299485,0.147122,0.343373,0.300000,0.047639,0.336476
0.540000,-0.08377328,-0.25730534,1.06241587,-4.00000000,-2.00000000,1.33213161,2.18874450,0.295944,0.147823,0.344845,0.300000,0.046708,0.337661
0.560000,-0.07666553,-0.25053943,1.04800002,-4.00000000,-2.00000000,1.25621120,2.25907471,0.292885,0.147122,0.346046,0.300000,0.045747,0.338823
0.580000,-0.06126814,-0.24423742,1.03497593,-4.00000000,-2.00000000,1.19941512,2.30544586,0.290260,0.143016,0.348301,0.300000,0.044756,0.339961
0.600000,-0.03771485,-0.23933232,1.02533162,-4.00000000,-2.00000000,1.16024115,2.32852563,0.288277,0.135592,0.351602,0.300000,0.043738,0.341073
0.620000,-0.01784566,-0.23111192,1.00834265,-4.00000000,-2.00000000,1.13773282,2.33081468,0.286119,0.129028,0.353799,0.300000,0.042692,0.342159
0.640000,-0.00763607,-0.22009126,0.98557513,-4.00000000,-2.00000000,1.12699615,2.32516639,0.283731,0.125618,0.354335,0.300000,0.041619,0.343219
0.660000,0.00549523,-0.20595376,0.95478502,-4.00000000,-2.00000000,1.11464073,2.31222656,0.280745,0.121205,0.354722,0.300000,0.040520,0.344251
0.680000,0.02590276,-0.87982334,1.57000000,-4.00000000,-2.00000000,1.37542349,2.55455689,0.430283,0.110690,0.261234,0.300000,0.039395,0.345255
0.700000,0.02314388,-0.06467602,0.62608868,-4.00000000,-2.00000000,1.05724280,2.18364312,0.250926,0.116448,0.338136,0.300000,0.038245,0.346231
0.720000,0.02522626,0.02203498,0.42470399,-4.00000000,-2.00000000,1.04616319,2.03475694,0.230874,0.116311,0.323934,0.300000,0.037072,0.347177
0.740000,0.00893265,0.14026786,0.15496672,-4.00000000,-2.00000000,1.05592116,1.88648324,0.201518,0.121597,0.299395,0.300000,0.035874,0.348094
0.760000,0.01772889,-0.63082393,1.57000000,-4.00000000,-2.00000000,1.23111500,2.44855676,0.368746,0.114803,0.335862,0.300000,0.034654,0.348980
0.780000,0.03386420,-0.72932201,1.57000000,-4.00000000,-2.00000000,1.12610322,2.57586182,0.391152,0.112452,0.311270,0.300000,0.033413,0.349836
0.800000,0.04709825,-0.92037416,1.57000000,-4.00000000,-2.00000000,1.38796369,2.58735191,0.438134,0.105464,0.249947,0.300000,0.032150,0.350660
0.820000,0.05589197,-0.03555047,0.57884566,-4.00000000,-2.00000000,1.02535730,2.15189873,0.243232,0.105978,0.340222,0.300000,0.030866,0.351452
0.840000,0.05563425,-1.11017676,1.57000000,-4.00000000,-2.00000000,1.42450132,2.70986453,0.466785,0.106153,0.183948,0.300000,0.029564,0.352211
0.860000,0.06656064,-1.36952061,1.57000000,-4.00000000,-2.00000000,1.39727503,2.94002847,0.483552,0.111200,0.089213,0.300000,0.028242,0.352937
