# rollout meta: {"joint_names": ["joint1", "joint2", "joint3", "joint4", "joint5", "joint6", "joint7"], "dt": 0.02, "n": 400, "source": "synthetic_clik", "note": "EE circle r=0.08 T=4.0s, tracking err max=0.01mm mean=0.01mm"}
t,q1,q2,q3,q4,q5,q6,q7,ee_x,ee_y,ee_z,tgt_x,tgt_y,tgt_z
0.000000,-0.19678355,0.35852692,-0.40092616,0.02585400,0.09661068,0.02032849,0.00000000,0.350000,0.080000,0.299998,0.350000,0.080000,0.300000
0.020000,-0.19545916,0.35818840,-0.39337721,0.02619486,0.09584987,0.02019113,0.00000000,0.349991,0.079957,0.302513,0.350000,0.079961,0.302513
0.040000,-0.19397076,0.35774761,-0.38581311,0.02651651,0.09500117,0.02003547,0.00000000,0.349991,0.079838,0.305023,0.350000,0.079842,0.305023
0.060000,-0.19231397,0.35724678,-0.37826620,0.02681588,0.09406668,0.01986181,0.00000000,0.349992,0.079641,0.307528,0.350000,0.079645,0.307529
0.080000,-0.19049253,0.35668823,-0.37074365,0.02709276,0.09304992,0.01967084,0.00000000,0.349992,0.079365,0.310026,0.350000,0.079369,0.310027
0.100000,-0.18851014,0.35607460,-0.36325270,0.02734695,0.09195434,0.01946323,0.00000000,0.349992,0.079010,0.312514,0.350000,0.079015,0.312515
0.120000,-0.18637054,0.35540866,-0.35580055,0.02757824,0.09078330,0.01923965,0.00000000,0.349992,0.078578,0.314990,0.350000,0.078583,0.314991
0.140000,-0.18407753,0.35469327,-0.34839436,0.02778645,0.08954011,0.01900076,0.00000000,0.349992,0.078068,0.317451,0.350000,0.078073,0.317451
0.160000,-0.18163488,0.35393141,-0.34104122,0.02797145,0.08822797,0.01874717,0.00000000,0.349993,0.077481,0.319894,0.350000,0.077487,0.319895
0.180000,-0.17904642,0.35312617,-0.33374818,0.02813308,0.08685001,0.01847952,0.00000000,0.349993,0.076817,0.322318,0.350000,0.076823,0.322319
0.200000,-0.17631597,0.35228070,-0.32652221,0.02827125,0.08540927,0.01819839,0.00000000,0.349993,0.076078,0.324720,0.350000,0.076085,0.324721
0.220000,-0.17344736,0.35139821,-0.31937021,0.02838588,0.08390869,0.01790438,0.00000000,0.349993,0.075264,0.327097,0.350000,0.075270,0.327099
0.240000,-0.17044441,0.35048200,-0.31229902,0.02847691,0.08235113,0.01759804,0.00000000,0.349994,0.074375,0.329448,0.350000,0.074382,0.329450
0.260000,-0.16731096,0.34953539,-0.30531539,0.02854433,0.08073937,0.01727994,0.00000000,0.349994,0.073413,0.331770,0.350000,0.073420,0.331772
0.280000,-0.16405081,0.34856174,-0.29842601,0.02858812,0.07907606,0.01695059,0.00000000,0.349994,0.072379,0.334060,0.350000,0.072386,0.334062
0.300000,-0.16066778,0.34756447,-0.29163746,0.02860835,0.07736380,0.01661052,0.00000000,0.349994,0.071273,0.336317,0.350000,0.071281,0.336319
0.320000,-0.15716567,0.34654698,-0.28495625,0.02860506,0.07560507,0.01626023,0.00000000,0.349994,0.070097,0.338538,0.350000,0.070105,0.338540
0.340000,-0.15354824,0.34551270,-0.27838876,0.02857837,0.07380227,0.01590019,0.00000000,0.349995,0.068852,0.340720,0.350000,0.068859,0.340723
0.360000,-0.14981927,0.34446505,-0.27194131,0.02852841,0.07195770,0.01553086,0.00000000,0.349995,0.067539,0.342863,0.350000,0.067546,0.342866
0.380000,-0.14598249,0.34340745,-0.26562010,0.02845536,0.07007357,0.01515270,0.00000000,0.349995,0.066159,0.344963,0.350000,0.066166,0.344967
0.400000,-0.14204163,0.34234330,-0.25943121,0.02835941,0.06815202,0.01476614,0.00000000,0.349995,0.064714,0.347019,0.350000,0.064721,0.347023
0.420000,-0.13800037,0.34127597,-0.25338061,0.02824080,0.06619507,0.01437158,0.00000000,0.349996,0.063205,0.349029,0.350000,0.063212,0.349033
0.440000,-0.13386239,0.34020883,-0.24747416,0.02809981,0.06420469,0.01396944,0.00000000,0.349996,0.061633,0.350990,0.350000,0.061641,0.350994
0.460000,-0.12963134,0.33914516,-0.24171758,0.02793676,0.06218273,0.01356008,0.00000000,0.349996,0.060001,0.352901,0.350000,0.060009,0.352905
0.480000,-0.12531085,0.33808822,-0.23611647,0.02775199,0.06013099,0.01314389,0.00000000,0.349996,0.058310,0.354759,0.350000,0.058317,0.354764
0.500000,-0.12090451,0.33704123,-0.23067629,0.02754587,0.05805116,0.01272122,0.00000000,0.349997,0.056561,0.356564,0.350000,0.056569,0.356569
0.520000,-0.11641588,0.33600732,-0.22540235,0.02731883,0.05594488,0.01229240,0.00000000,0.349997,0.054756,0.358312,0.350000,0.054764,0.358317
0.540000,-0.11184852,0.33498957,-0.22029981,0.02707133,0.05381369,0.01185776,0.00000000,0.349997,0.052898,0.360004,0.350000,0.052905,0.360009
0.560000,-0.10720595,0.33399099,-0.21537371,0.02680384,0.05165908,0.01141762,0.00000000,0.349997,0.050987,0.361636,0.350000,0.050994,0.361641
0.580000,-0.10249166,0.33301449,-0.21062888,0.02651690,0.04948246,0.01097228,0.00000000,0.349997,0.049026,0.363207,0.350000,0.049033,0.363212
0.600000,-0.09770911,0.33206292,-0.20607003,0.02621105,0.04728516,0.01052202,0.00000000,0.349997,0.047016,0.364716,0.350000,0.047023,0.364721
0.620000,-0.09286175,0.33113901,-0.20170168,0.02588690,0.04506845,0.01006712,0.00000000,0.349998,0.044960,0.366160,0.350000,0.044967,0.366166
0.640000,-0.08795301,0.33024543,-0.19752817,0.02554506,0.04283356,0.00960786,0.00000000,0.349998,0.042860,0.367540,0.350000,0.042866,0.367546
0.660000,-0.08298627,0.32938471,-0.19355366,0.02518618,0.04058163,0.00914448,0.00000000,0.349998,0.040717,0.368853,0.350000,0.040723,0.368859
0.680000,-0.07796491,0.32855930,-0.18978213,0.02481097,0.03831376,0.00867723,0.00000000,0.349998,0.038535,0.370098,0.350000,0.038540,0.370105
0.700000,-0.07289229,0.32777153,-0.18621736,0.02442012,0.03603099,0.00820636,0.00000000,0.349998,0.036314,0.371274,0.350000,0.036319,0.371281
0.720000,-0.06777172,0.32702359,-0.18286294,0.02401439,0.03373432,0.00773207,0.00000000,0.349998,0.034057,0.372379,0.350000,0.034062,0.372386
0.740000,-0.06260653,0.32631759,-0.17972226,0.02359455,0.03142469,0.00725460,0.00000000,0.349999,0.031767,0.373413,0.350000,0.031772,0.373420
0.760000,-0.05740000,0.32565548,-0.17679848,0.02316141,0.02910300,0.00677416,0.00000000,0.349999,0.029445,0.374375,0.350000,0.029450,0.374382
0.780000,-0.05215542,0.32503910,-0.17409456,0.02271578,0.02677011,0.00629095,0.00000000,0.349999,0.027095,0.375263,0.350000,0.027099,0.375270
0.800000,-0.04687603,0.32447015,-0.17161326,0.02225852,0.02442684,0.00580517,0.00000000,0.349999,0.024717,0.376077,0.350000,0.024721,0.376085
0.820000,-0.04156507,0.32395019,-0.16935708,0.02179051,0.02207399,0.00531701,0.00000000,0.349999,0.022316,0.376816,0.350000,0.022319,0.376823
