# rollout meta: {"joint_names": ["joint1", "joint2", "joint3", "joint4", "joint5", "joint6", "joint7"], "dt": 0.02, "n": 1550, "has_base": true, "source": "task_ik_6d", "note": "draw/turn phases, base 1s jitter + smooth facing turns"}
t,q1,q2,q3,q4,q5,q6,q7,ee_x,ee_y,ee_z,tgt_x,tgt_y,tgt_z,bx,by,bz,bqx,bqy,bqz,bqw,drawing
0.000000,-0.08114707,-0.00906508,-0.60339578,1.67069936,-0.95936274,-0.01020715,-3.15000000,0.299976,0.059926,0.100048,0.300000,0.060000,0.100000,0.020000,0.000000,0.000000,0.00000057,0.00075592,-0.00075584,0.99999943,1
0.020000,-0.07252385,-0.01306136,-0.59229012,1.65876691,-0.96586665,-0.03468195,-3.15000000,0.299994,0.060055,0.101463,0.300000,0.059981,0.101508,0.019842,0.002507,0.000000,0.00010993,0.00069522,-0.00080462,0.99999943,1
0.040000,-0.06318877,-0.01494896,-0.58293658,1.64674771,-0.97299911,-0.03513694,-3.15000000,0.299985,0.060003,0.102967,0.300000,0.059924,0.103015,0.019372,0.004974,0.000000,0.00021755,0.00062355,-0.00084070,0.99999943,1
0.060000,-0.05403768,-0.01744409,-0.57284605,1.63509320,-0.98037053,-0.03117426,-3.14788521,0.299975,0.059908,0.104472,0.300000,0.059830,0.104520,0.018596,0.007362,0.000000,0.00032172,0.00054205,-0.00086350,0.99999943,1
0.080000,-0.04522300,-0.02105020,-0.56150087,1.62396720,-0.98798282,-0.02684028,-3.14573625,0.299965,0.059773,0.105975,0.300000,0.059697,0.106022,0.017526,0.009635,0.000000,0.00042080,0.00045199,-0.00087267,0.99999943,1
0.100000,-0.03686762,-0.02574632,-0.54891221,1.61351415,-0.99583619,-0.02255973,-3.14398089,0.299956,0.059600,0.107473,0.300000,0.059527,0.107520,0.016180,0.011756,0.000000,0.00051325,0.00035481,-0.00086805,0.99999943,1
0.120000,-0.02908323,-0.03144402,-0.53516328,1.60386232,-1.00392398,-0.01838377,-3.14265366,0.299948,0.059388,0.108967,0.300000,0.059319,0.109014,0.014579,0.013691,0.000000,0.00059759,0.00025205,-0.00084972,0.99999943,1
0.140000,-0.02196921,-0.03803906,-0.52035697,1.59512192,-1.01223389,-0.01434765,-3.14176820,0.299940,0.059137,0.110455,0.300000,0.059074,0.110501,0.012748,0.015410,0.000000,0.00067252,0.00014532,-0.00081797,0.99999943,1
0.160000,-0.01561129,-0.04541465,-0.50461285,1.58738385,-1.02074876,-0.01048166,-3.14132876,0.299934,0.058848,0.111937,0.300000,0.058791,0.111983,0.010717,0.016887,0.000000,0.00073684,0.00003632,-0.00077330,0.99999943,1
0.180000,-0.01008045,-0.05344322,-0.48806534,1.58071880,-1.02944735,-0.00681139,-3.14133053,0.299928,0.058521,0.113410,0.300000,0.058472,0.113456,0.008516,0.018097,0.000000,0.00078956,-0.00007324,-0.00071643,0.99999943,1
